993: done 1 games, mean reward -19.000, eps 0.99, speed 804.15 f/s
1894: done 2 games, mean reward -20.000, eps 0.98, speed 675.86 f/s
2795: done 3 games, mean reward -20.000, eps 0.97, speed 528.65 f/s
3645: done 4 games, mean reward -20.250, eps 0.96, speed 636.95 f/s
4561: done 5 games, mean reward -20.200, eps 0.95, speed 637.49 f/s
5719: done 6 games, mean reward -20.167, eps 0.94, speed 650.64 f/s
6750: done 7 games, mean reward -20.286, eps 0.93, speed 599.45 f/s
7512: done 8 games, mean reward -20.375, eps 0.92, speed 580.89 f/s
8390: done 9 games, mean reward -20.444, eps 0.92, speed 575.65 f/s
9327: done 10 games, mean reward -20.400, eps 0.91, speed 479.00 f/s
10089: done 11 games, mean reward -20.455, eps 0.90, speed 93.45 f/s
10967: done 12 games, mean reward -20.500, eps 0.89, speed 14.84 f/s
11866: done 13 games, mean reward -20.538, eps 0.88, speed 14.02 f/s
13018: done 14 games, mean reward -20.357, eps 0.87, speed 15.44 f/s
13808: done 15 games, mean reward -20.400, eps 0.86, speed 15.96 f/s
14658: done 16 games, mean reward -20.438, eps 0.85, speed 15.78 f/s
15688: done 17 games, mean reward -20.471, eps 0.84, speed 15.00 f/s
16557: done 18 games, mean reward -20.500, eps 0.83, speed 14.06 f/s
17744: done 19 games, mean reward -20.316, eps 0.82, speed 14.34 f/s
18624: done 20 games, mean reward -20.350, eps 0.81, speed 13.74 f/s
19386: done 21 games, mean reward -20.381, eps 0.81, speed 13.51 f/s
20366: done 22 games, mean reward -20.318, eps 0.80, speed 14.08 f/s
21235: done 23 games, mean reward -20.304, eps 0.79, speed 14.35 f/s
22087: done 24 games, mean reward -20.333, eps 0.78, speed 14.36 f/s
22886: done 25 games, mean reward -20.360, eps 0.77, speed 13.62 f/s
23912: done 26 games, mean reward -20.385, eps 0.76, speed 13.80 f/s
24795: done 27 games, mean reward -20.407, eps 0.75, speed 13.97 f/s
25635: done 28 games, mean reward -20.393, eps 0.74, speed 13.84 f/s
26632: done 29 games, mean reward -20.345, eps 0.73, speed 14.55 f/s
