993: done 1 games, mean reward -19.000, eps 0.99, speed 804.15 f/s
27626: done 30 games, mean reward -20.333, eps 0.72, speed 16.19 f/s
28478: done 31 games, mean reward -20.355, eps 0.72, speed 16.05 f/s
29395: done 32 games, mean reward -20.344, eps 0.71, speed 15.76 f/s
30157: done 33 games, mean reward -20.364, eps 0.70, speed 15.64 f/s
30979: done 34 games, mean reward -20.382, eps 0.69, speed 15.44 f/s
31829: done 35 games, mean reward -20.400, eps 0.68, speed 15.23 f/s
32758: done 36 games, mean reward -20.389, eps 0.67, speed 15.47 f/s
33627: done 37 games, mean reward -20.405, eps 0.66, speed 15.69 f/s
34417: done 38 games, mean reward -20.421, eps 0.66, speed 16.27 f/s
35179: done 39 games, mean reward -20.436, eps 0.65, speed 15.43 f/s
35997: done 40 games, mean reward -20.450, eps 0.64, speed 14.17 f/s
36880: done 41 games, mean reward -20.463, eps 0.63, speed 14.10 f/s
37715: done 42 games, mean reward -20.452, eps 0.62, speed 15.17 f/s
38551: done 43 games, mean reward -20.442, eps 0.61, speed 15.43 f/s
39373: done 44 games, mean reward -20.455, eps 0.61, speed 14.77 f/s
40382: done 45 games, mean reward -20.422, eps 0.60, speed 15.62 f/s
41392: done 46 games, mean reward -20.413, eps 0.59, speed 15.66 f/s
42233: done 47 games, mean reward -20.404, eps 0.58, speed 15.17 f/s
43073: done 48 games, mean reward -20.396, eps 0.57, speed 15.08 f/s
43854: done 49 games, mean reward -20.408, eps 0.56, speed 15.17 f/s
44690: done 50 games, mean reward -20.400, eps 0.55, speed 15.12 f/s
45527: done 51 games, mean reward -20.412, eps 0.54, speed 14.84 f/s
46377: done 52 games, mean reward -20.423, eps 0.54, speed 14.79 f/s
47286: done 53 games, mean reward -20.434, eps 0.53, speed 14.33 f/s
48067: done 54 games, mean reward -20.444, eps 0.52, speed 13.13 f/s
48829: done 55 games, mean reward -20.455, eps 0.51, speed 14.56 f/s
49591: done 56 games, mean reward -20.464, eps 0.50, speed 13.69 f/s
50441: done 57 games, mean reward -20.474, eps 0.50, speed 13.11 f/s
51203: done 58 games, mean reward -20.483, eps 0.49, speed 13.16 f/s
52053: done 59 games, mean reward -20.492, eps 0.48, speed 13.11 f/s
52815: done 60 games, mean reward -20.500, eps 0.47, speed 13.85 f/s
53607: done 61 games, mean reward -20.508, eps 0.46, speed 13.90 f/s
54429: done 62 games, mean reward -20.516, eps 0.46, speed 13.19 f/s
55191: done 63 games, mean reward -20.524, eps 0.45, speed 13.18 f/s
56013: done 64 games, mean reward -20.531, eps 0.44, speed 13.66 f/s
56897: done 65 games, mean reward -20.538, eps 0.43, speed 13.79 f/s
57818: done 66 games, mean reward -20.530, eps 0.42, speed 13.31 f/s
58642: done 67 games, mean reward -20.537, eps 0.41, speed 13.45 f/s
59404: done 68 games, mean reward -20.544, eps 0.41, speed 13.67 f/s
60166: done 69 games, mean reward -20.551, eps 0.40, speed 12.54 f/s
60928: done 70 games, mean reward -20.557, eps 0.39, speed 14.05 f/s
61690: done 71 games, mean reward -20.563, eps 0.38, speed 14.16 f/s
62572: done 72 games, mean reward -20.569, eps 0.37, speed 14.70 f/s
63516: done 73 games, mean reward -20.575, eps 0.36, speed 14.30 f/s
64385: done 74 games, mean reward -20.568, eps 0.36, speed 14.86 f/s
65147: done 75 games, mean reward -20.573, eps 0.35, speed 13.92 f/s
65937: done 76 games, mean reward -20.579, eps 0.34, speed 13.96 f/s
66699: done 77 games, mean reward -20.584, eps 0.33, speed 12.83 f/s
67523: done 78 games, mean reward -20.590, eps 0.32, speed 13.81 f/s
68313: done 79 games, mean reward -20.595, eps 0.32, speed 13.35 f/s
69137: done 80 games, mean reward -20.600, eps 0.31, speed 12.06 f/s
70081: done 81 games, mean reward -20.605, eps 0.30, speed 12.81 f/s
70903: done 82 games, mean reward -20.610, eps 0.29, speed 12.20 f/s
71807: done 83 games, mean reward -20.614, eps 0.28, speed 12.38 f/s
72597: done 84 games, mean reward -20.619, eps 0.27, speed 12.63 f/s
73419: done 85 games, mean reward -20.624, eps 0.27, speed 12.49 f/s
74209: done 86 games, mean reward -20.628, eps 0.26, speed 11.54 f/s
74999: done 87 games, mean reward -20.632, eps 0.25, speed 10.80 f/s
75823: done 88 games, mean reward -20.636, eps 0.24, speed 11.82 f/s
76675: done 89 games, mean reward -20.640, eps 0.23, speed 11.33 f/s
77499: done 90 games, mean reward -20.644, eps 0.23, speed 10.90 f/s
78323: done 91 games, mean reward -20.648, eps 0.22, speed 11.25 f/s
79145: done 92 games, mean reward -20.652, eps 0.21, speed 10.89 f/s
80027: done 93 games, mean reward -20.656, eps 0.20, speed 11.17 f/s
80863: done 94 games, mean reward -20.649, eps 0.19, speed 10.97 f/s
81687: done 95 games, mean reward -20.653, eps 0.18, speed 9.26 f/s
82588: done 96 games, mean reward -20.646, eps 0.17, speed 9.85 f/s
83350: done 97 games, mean reward -20.649, eps 0.17, speed 11.39 f/s
84200: done 98 games, mean reward -20.653, eps 0.16, speed 10.20 f/s
85022: done 99 games, mean reward -20.657, eps 0.15, speed 10.16 f/s
85784: done 100 games, mean reward -20.660, eps 0.14, speed 10.64 f/s
86684: done 101 games, mean reward -20.670, eps 0.13, speed 11.52 f/s
87506: done 102 games, mean reward -20.670, eps 0.12, speed 10.85 f/s
88374: done 103 games, mean reward -20.680, eps 0.12, speed 10.39 f/s
89136: done 104 games, mean reward -20.680, eps 0.11, speed 10.93 f/s
89898: done 105 games, mean reward -20.690, eps 0.10, speed 10.54 f/s
90780: done 106 games, mean reward -20.700, eps 0.09, speed 11.48 f/s
91561: done 107 games, mean reward -20.700, eps 0.08, speed 10.85 f/s
92351: done 108 games, mean reward -20.700, eps 0.08, speed 11.36 f/s
93141: done 109 games, mean reward -20.700, eps 0.07, speed 10.75 f/s
93903: done 110 games, mean reward -20.710, eps 0.06, speed 11.46 f/s
94665: done 111 games, mean reward -20.710, eps 0.05, speed 10.85 f/s
95507: done 112 games, mean reward -20.710, eps 0.04, speed 11.57 f/s
96359: done 113 games, mean reward -20.710, eps 0.04, speed 11.59 f/s
97121: done 114 games, mean reward -20.740, eps 0.03, speed 11.12 f/s
97883: done 115 games, mean reward -20.740, eps 0.02, speed 10.56 f/s
98645: done 116 games, mean reward -20.740, eps 0.02, speed 11.33 f/s
99407: done 117 games, mean reward -20.740, eps 0.02, speed 10.57 f/s
100231: done 118 games, mean reward -20.740, eps 0.02, speed 11.06 f/s
101021: done 119 games, mean reward -20.780, eps 0.02, speed 11.08 f/s
